Comment,Designator,Footprint,LCSC Part #
0,R38 R39 R40,R0402,
0.1uF,C7 C8 C9 C12 C15 C32 C33 C87,C0402,
0.01uF,C31,C0402,
1uF,C3,C0603,
1uF,C5 C11,C0402,
1uF,C17 C18,C0603,
1uF,C23,C0402,
1uF,C23\ C24,C0603,
1uF 100V,C2,C0805,
2k,R6 R7 R25 R33 R34,R0402,
4.7k 1%,R16,R0402,
4.7uF,C10,C0603,
4.7uF 100V,C50 C51 C52 C53 C54 C55 C56 C57 C58 C59 C60 C61 C62 C63 C64 C65 C66 C67 C68 C69 C70 C71 C72 C73 C74 C75 C76 C77 C78 C79 C80 C81 C82 C83 C84 C85 C86,C1206_NOBORDER,
10k 1%,R18 R19,R0402,
10uF,C13,C1206,
22uF,C4 C6,C1206,
47k NTC,R17,R0402,
100,R4 R5 R8 R9 R10 R11 R12 R13 R14,R0402,
100k 1%,R2 R15,R0402,
560,R20 R21,R0402,
74479887222A,L2,IND_1008_WE-PMI_WRE,
ADP5301ACBZ-4-R7,U2,BGA9C50P3X3_165X187X66,
AS5147,U5,TSSOP14,
BAT41KFILM,D13 D14 D15 D16,SODFL1608X70N,
DNP,C1 C19 C20 C21 C22 C25 C26 C27 C28 C29,C0402,
DNP,R1 R3,R0402,
DNP,R37,R0805,
JST-PH3,CAN2,JST_S3B-PH-SM4-TB(LF)(SN),
MAX15062AATA+T,U1,21-0487A_MXM,
MF-LED-0603-RED,D1 D2,LED0603,
SHORTMEDIUM,SH4,SHORT_TOP-MEDIUM,
SRN4018-220M,L1,IND_BOURNS_SRN4018,
STM32G474CEU6,U3,QFN50P700X700X60-49N,
