Designator,Mid X,Mid Y,Layer,Rotation
C1,39.15, 5.78,Bottom,180.0
C2,43.80, 9.60,Bottom,90.0
C3,40.40, 8.60,Bottom,180.0
C4,39.50,14.80,Bottom,270.0
C5,42.20,17.80,Bottom,0.0
C6,42.80,22.20,Bottom,0.0
C7,36.16,27.83,Bottom,270.0
C8,34.87,37.42,Bottom,90.0
C9,41.78,30.95,Bottom,0.0
C10,27.41,32.16,Bottom,270.0
C11,26.31,34.94,Bottom,180.0
C12,26.76,35.72,Bottom,180.0
C13,41.69,38.20,Bottom,180.0
C15,27.14,21.87,Bottom,270.0
C17,20.71,43.18,Bottom,90.0
C18,19.30,43.20,Bottom,90.0
C19,12.70,44.50,Bottom,180.0
C20,14.80,44.50,Bottom,180.0
C21,16.80,44.50,Bottom,0.0
C22,19.10,45.00,Bottom,0.0
C23,39.90,23.20,Bottom,90.0
C23\,36.00,43.20,Bottom,90.0
C24,34.20,43.40,Bottom,90.0
C25,27.51,44.40,Bottom,90.0
C26,28.80,44.41,Bottom,90.0
C27,30.10,44.40,Bottom,90.0
C28,31.37,44.40,Bottom,90.0
C29,32.70,44.40,Bottom,90.0
C31,22.25,33.24,Bottom,180.0
C32,23.64,37.94,Bottom,90.0
C33,37.20,38.50,Bottom,270.0
C50, 7.10,39.00,Bottom,180.0
C51, 7.10,37.00,Bottom,180.0
C52, 7.10,35.00,Bottom,180.0
C53, 7.10,33.00,Bottom,180.0
C54, 7.10,31.00,Bottom,180.0
C55, 7.10,29.00,Bottom,180.0
C56, 7.10,27.00,Bottom,180.0
C57, 7.10,25.00,Bottom,180.0
C58, 7.10,23.00,Bottom,180.0
C59, 7.10,21.00,Bottom,180.0
C60, 7.10,19.00,Bottom,180.0
C61, 7.10,17.00,Bottom,180.0
C62, 7.10,15.00,Bottom,180.0
C63, 7.10,13.00,Bottom,180.0
C64, 7.10,11.00,Bottom,180.0
C65, 7.10, 9.00,Bottom,180.0
C66, 7.10, 7.00,Bottom,180.0
C67,11.40,33.70,Bottom,0.0
C68,11.40,31.70,Bottom,0.0
C69,11.40,29.70,Bottom,0.0
C70,11.40,27.70,Bottom,0.0
C71,11.40,25.70,Bottom,0.0
C72,11.40,23.70,Bottom,0.0
C73,11.40,18.30,Bottom,0.0
C74,11.40,13.00,Bottom,0.0
C75,11.40,11.00,Bottom,0.0
C76,11.40, 9.00,Bottom,0.0
C77,11.40, 7.00,Bottom,0.0
C78,16.10,35.70,Bottom,180.0
C79,16.60,33.70,Bottom,180.0
C80,16.00,31.70,Bottom,180.0
C81,15.70,29.70,Bottom,180.0
C82,16.30,26.30,Bottom,180.0
C83,16.40,23.20,Bottom,180.0
C84,16.40,20.50,Bottom,180.0
C85,16.40,18.30,Bottom,180.0
C86,16.80,16.10,Bottom,180.0
C87,26.08,33.62,Bottom,90.0
CAN2,33.40, 4.60,Bottom,0.0
D1,25.80, 6.40,Bottom,90.0
D2,27.40, 6.40,Bottom,90.0
D13,24.20,41.70,Bottom,180.0
D14,24.20,40.40,Bottom,180.0
D15,10.80,44.60,Bottom,270.0
D16,11.20,41.40,Bottom,0.0
L1,43.00,14.80,Bottom,270.0
L2,39.40,20.30,Bottom,270.0
R1,39.15, 6.98,Bottom,180.0
R2,28.70,16.30,Bottom,270.0
R3,29.87,16.30,Bottom,90.0
R4,17.80,42.90,Bottom,90.0
R5,16.50,42.90,Bottom,90.0
R6,15.90,45.40,Bottom,0.0
R7,14.61,41.00,Bottom,0.0
R8,13.30,42.90,Bottom,90.0
R9,15.40,42.90,Bottom,90.0
R10,32.70,42.20,Bottom,90.0
R11,31.37,42.20,Bottom,90.0
R12,30.11,42.20,Bottom,90.0
R13,28.80,42.20,Bottom,90.0
R14,27.50,42.20,Bottom,90.0
R15,22.26,35.53,Bottom,180.0
R16,22.25,34.37,Bottom,0.0
R17,12.71,36.45,Bottom,0.0
R18,24.92,37.95,Bottom,90.0
R19,38.20,38.50,Bottom,270.0
R20,26.60, 8.90,Bottom,180.0
R21,28.90, 8.90,Bottom,0.0
R25,35.41,25.84,Bottom,180.0
R33,26.90,40.50,Bottom,0.0
R34,27.40,39.20,Bottom,0.0
R37,33.40,15.70,Bottom,180.0
R38,39.00,11.50,Bottom,0.0
R39,43.90,18.20,Bottom,270.0
R40,27.50,23.20,Bottom,0.0
SH4,42.94,10.60,Bottom,0.0
U1,41.40,10.60,Bottom,90.0
U2,42.10,19.80,Bottom,270.0
U3,32.19,31.94,Bottom,90.0
U5,23.00,23.00,Bottom,90.0
