Comment,Designator,Footprint,LCSC Part #
0.1uF,D12 C14 C16 C30 C42,C0402,
0.1uF 100V,C37 C39,C0603,
0.1uF 100V,C44 C45 C46,C1206,
0.5mOhm 1% 2W,RA RB RC,M1206,
0.47uF 100V,C43,C0805,
1uF,C38 C40,C0603,
1uF,C41,C0402,
2k,R26,R0402,
4.7uF 100V,C47 C48,C1206,
4.7uF 100V,C49,C1206_NOBORDER,
7.5,R27 R28,R0402,
7.5,R29,R0805,
7.5,R30 R31 R32,R0402,
22,R22 R23 R24,R0402,
120,R35 R36,R0402,
1000pF,C34 C35 C36,C0402,
BAT41KFILM,D3 D4 D5 D6 D7 D8 D9 D10 D11,SODFL1608X70N,
DRV8353S,U7,WQFN-40,
JST-PH3,CAN1,JST_S3B-PH-SM4-TB(LF)(SN),
JST-ZH6,SWD,JST_S6B-ZR-SM4A-TF(LF)(SN),
SHORTT5,SH1 SH2 SH3,SHORT_TOP-50,
SM06B-GHS-TB(LF)(SN),J3,JST_SM06B-GHS-TB(LF)(SN),
SM07B-GHS-TB(LF)(SN),AUX2,JST_SM07B-GHS-TB(LF)(SN),
SM08B-GHS-TB(LF)(SN),AUX1,JST_SM08B-GHS-TB(LF)(SN),
SN65HVD35DR,U8,D14,
TCAN1042HGV,U4,SOIC8,
TPH1R204PLSOP_ADVANCE_8,Q2 Q4 Q6,SOP_ADVANCE_8,
TPH1R204PL_VIAS,Q1 Q3 Q5,SOP_ADVANCE_8_VIAS,
