Designator,Mid X,Mid Y,Layer,Rotation
AUX1,31.10,41.15,Top,180.0
AUX2,16.40,43.00,Top,180.0
C14,33.40,24.10,Top,0.0
C16,30.10,16.80,Top,180.0
C30,44.70,18.50,Top,180.0
C34,28.66,19.81,Top,0.0
C35,27.65,18.79,Top,0.0
C36,26.66,17.79,Top,0.0
C37,22.14,29.71,Top,135.0
C38,21.34,28.88,Top,315.0
C39,23.51,30.75,Top,315.0
C40,24.88,31.07,Top,315.0
C41,25.97,29.01,Top,315.0
C42,27.46,21.96,Top,180.0
C43,21.49,32.13,Top,45.0
C44,14.32,35.21,Top,270.0
C45,12.80,23.40,Top,90.0
C46,13.59,11.97,Top,300.0
C47,14.10,16.60,Top,45.0
C48,13.80,20.30,Top,0.0
C49,13.96,38.57,Top,0.0
CAN1,19.80, 4.60,Top,180.0
D3,16.58,32.13,Top,90.0
D4,16.86,33.85,Top,0.0
D5,17.27,36.81,Top,180.0
D6,17.45,22.70,Top,135.0
D7,18.90,26.20,Top,135.0
D8,17.62,19.11,Top,225.0
D9,22.07,18.14,Top,270.0
D10,20.43,15.83,Top,225.0
D11,18.61,17.54,Top,225.0
D12,26.40,13.40,Top,90.0
J3,43.00,12.20,Top,90.0
Q1, 8.41,37.80,Top,270.0
Q2, 8.04,31.88,Top,90.0
Q3, 8.41,20.04,Top,270.0
Q4, 8.04,25.96,Top,90.0
Q5, 8.41,14.12,Top,270.0
Q6, 8.04, 8.20,Top,90.0
R22,27.59,20.90,Top,0.0
R23,26.20,19.80,Top,0.0
R24,25.51,18.80,Top,0.0
R26,38.41,27.14,Top,180.0
R27,17.50,32.15,Top,90.0
R28,17.30,35.90,Top,180.0
R29,18.50,23.54,Top,135.0
R30,16.98,19.75,Top,225.0
R31,20.60,17.50,Top,225.0
R32,18.02,18.24,Top,225.0
R35,38.90,11.00,Top,270.0
R36,38.90,13.50,Top,270.0
RA,13.46,30.87,Top,90.0
RB,14.40,26.60,Top,180.0
RC,13.20, 7.20,Top,90.0
SH1,13.36,30.22,Top,90.0
SH2,15.00,26.60,Top,180.0
SH3,12.90, 6.60,Top,90.0
SWD,40.40,33.00,Top,270.0
U4,33.40,20.00,Top,270.0
U7,24.39,25.00,Top,45.0
U8,41.50,22.50,Top,270.0
